Size,Instance,Zeta,DOD,Objective
10,1,1,50,6
10,1,1,75,2
10,1,1.25,50,9
10,1,1.25,75,2
10,1,1.5,50,10
10,1,1.5,75,2
10,2,1,50,6
10,2,1,75,4
10,2,1.25,50,9
10,2,1.25,75,9
10,2,1.5,50,9
10,2,1.5,75,10
10,3,1,50,8
10,3,1,75,4
10,3,1.25,50,10
10,3,1.25,75,8
10,3,1.5,50,10
10,3,1.5,75,9
10,4,1,50,8
10,4,1,75,5
10,4,1.25,50,9
10,4,1.25,75,7
10,4,1.5,50,10
10,4,1.5,75,10
10,5,1,50,8
10,5,1,75,6
10,5,1.25,50,9
10,5,1.25,75,9
10,5,1.5,50,10
10,5,1.5,75,10
10,6,1,50,8
10,6,1,75,4
10,6,1.25,50,9
10,6,1.25,75,9
10,6,1.5,50,10
10,6,1.5,75,9
10,7,1,50,8
10,7,1,75,5
10,7,1.25,50,9
10,7,1.25,75,7
10,7,1.5,50,10
10,7,1.5,75,10
10,8,1,50,8
10,8,1,75,2
10,8,1.25,50,9
10,8,1.25,75,2
10,8,1.5,50,10
10,8,1.5,75,2
10,9,1,50,7
10,9,1,75,5
10,9,1.25,50,9
10,9,1.25,75,8
10,9,1.5,50,10
10,9,1.5,75,10
10,10,1,50,9
10,10,1.25,50,9
10,10,1.5,50,9
15,1,1,50,11
15,1,1,75,9
15,1,1.25,50,13
15,1,1.25,75,12
15,1,1.5,50,15
15,1,1.5,75,14
15,2,1,50,12
15,2,1,75,9
15,2,1.25,50,14
15,2,1.25,75,13
15,2,1.5,50,15
15,2,1.5,75,15
15,3,1,50,11
15,3,1,75,9
15,3,1.25,50,13
15,3,1.25,75,12
15,3,1.5,50,15
15,3,1.5,75,15
15,4,1,50,10
15,4,1,75,10
15,4,1.25,50,13
15,4,1.25,75,12
15,4,1.5,50,15
15,4,1.5,75,14
15,5,1,50,11
15,5,1,75,10
15,5,1.25,50,13
15,5,1.25,75,12
15,5,1.5,50,15
15,5,1.5,75,14
15,6,1,50,12
15,6,1,75,7
15,6,1.25,50,14
15,6,1.25,75,12
15,6,1.5,50,15
15,6,1.5,75,14
15,7,1,50,13
15,7,1,75,9
15,7,1.25,50,14
15,7,1.25,75,12
15,7,1.5,50,15
15,7,1.5,75,14
15,8,1,50,12
15,8,1,75,10
15,8,1.25,50,13
15,8,1.25,75,14
15,8,1.5,50,15
15,8,1.5,75,15
15,9,1,50,11
15,9,1,75,9
15,9,1.25,50,13
15,9,1.25,75,12
15,9,1.5,50,15
15,9,1.5,75,15
15,10,1,50,11
15,10,1,75,10
15,10,1.25,50,13
15,10,1.25,75,12
15,10,1.5,50,15
15,10,1.5,75,15
20,1,1,50,17
20,1,1,75,13
20,1,1.25,50,19
20,1,1.25,75,17
20,1,1.5,50,20
20,1,1.5,75,20
20,2,1,50,17
20,2,1,75,14
20,2,1.25,50,18
20,2,1.25,75,17
20,2,1.5,50,20
20,2,1.5,75,19
20,3,1,50,16
20,3,1,75,14
20,3,1.25,50,19
20,3,1.25,75,17
20,3,1.5,50,20
20,3,1.5,75,20
20,4,1,50,16
20,4,1,75,13
20,4,1.25,50,19
20,4,1.25,75,17
20,4,1.5,50,20
20,4,1.5,75,20
20,5,1,50,15
20,5,1,75,13
20,5,1.25,50,19
20,5,1.25,75,17
20,5,1.5,50,20
20,5,1.5,75,20
20,6,1,50,14
20,6,1,75,14
20,6,1.25,50,18
20,6,1.25,75,18
20,6,1.5,50,20
20,6,1.5,75,20
20,7,1,50,16
20,7,1,75,14
20,7,1.25,50,18
20,7,1.25,75,18
20,7,1.5,50,20
20,7,1.5,75,20
20,8,1,50,14
20,8,1,75,12
20,8,1.25,50,18
20,8,1.25,75,17
20,8,1.5,50,20
20,8,1.5,75,20
20,9,1,50,15
20,9,1,75,14
20,9,1.25,50,17
20,9,1.25,75,17
20,9,1.5,50,20
20,9,1.5,75,20
20,10,1,50,18
20,10,1,75,13
20,10,1.25,50,20
20,10,1.25,75,18
20,10,1.5,50,20
20,10,1.5,75,20
